site_id,utc_time,epoch_time,lat,lon,sitetype,pm25,pm10,no2,co,o3,so2,weather,temperature,pressure,humidity,wind_direction,wind_speed_kmph
dongsi_aq,2018-04-28 00:00:00,1524873600,39.93,116.42,Urban Stations,59,172,96,0.8,8,5,CLEAR_DAY,17.03,1006.54,40.47,101.19,2.77
tiantan_aq,2018-04-28 00:00:00,1524873600,39.89,116.41,Urban Stations,52,187,104,0.8,3,5,CLEAR_DAY,17.09,1006.78,40.85,104.62,2.34
guanyuan_aq,2018-04-28 00:00:00,1524873600,39.93,116.34,Urban Stations,54,165,91,0.6,13,7,CLEAR_DAY,17.24,1004.53,40.5,89.65,2.86
wanshouxigong_aq,2018-04-28 00:00:00,1524873600,39.88,116.35,Urban Stations,51,184,93,0.9,6,5,CLEAR_DAY,17.3,1005.6,40.86,102.21,2.46
aotizhongxin_aq,2018-04-28 00:00:00,1524873600,39.98,116.4,Urban Stations,58,134,86,0.7,6,3,CLEAR_DAY,16.98,1005.89,39.64,82.69,3.62
nongzhanguan_aq,2018-04-28 00:00:00,1524873600,39.94,116.46,Urban Stations,49,165,106,0.8,2,4,CLEAR_DAY,16.98,1007.75,40.54,109.81,2.64
wanliu_aq,2018-04-28 00:00:00,1524873600,39.99,116.29,Urban Stations,46,172,84,0.7,13,45,CLEAR_DAY,16.6,1001.61,40.05,75.46,3.73
beibuxinqu_aq,2018-04-28 00:00:00,1524873600,40.09,116.17,Urban Stations,41,141,65,0.7,9,2,CLEAR_DAY,16.21,986.98,39.87,69.1,3.49
zhiwuyuan_aq,2018-04-28 00:00:00,1524873600,40,116.21,Urban Stations,,,,,,,CLEAR_DAY,16.02,995.84,40.16,70.66,3.73
fengtaihuayuan_aq,2018-04-28 00:00:00,1524873600,39.86,116.28,Urban Stations,48,183,88,0.7,14,6,CLEAR_DAY,17.35,1003.95,41.18,93.47,2.45
yungang_aq,2018-04-28 00:00:00,1524873600,39.82,116.15,Urban Stations,33,47,45,0.5,41,5,CLEAR_DAY,16.44,995.2,42.3,77.4,2.22
gucheng_aq,2018-04-28 00:00:00,1524873600,39.91,116.18,Urban Stations,47,135,71,0.6,32,2,CLEAR_DAY,16.47,997.06,41.13,73.62,2.92
fangshan_aq,2018-04-28 00:00:00,1524873600,39.74,116.14,Suburban Stations,46,,87,0.6,20,3,CLEAR_DAY,16.8,998.16,43.07,96.96,2.04
daxing_aq,2018-04-28 00:00:00,1524873600,39.72,116.4,Suburban Stations,60,191,103,0.6,2,11,CLEAR_DAY,17,1007.77,42.77,191.62,2.66
yizhuang_aq,2018-04-28 00:00:00,1524873600,39.8,116.51,Suburban Stations,52,132,99,0.8,7,4,CLEAR_DAY,16.87,1008.16,41.97,181.33,2.15
tongzhou_aq,2018-04-28 00:00:00,1524873600,39.89,116.66,Suburban Stations,63,160,88,0.8,13,8,CLEAR_DAY,15.99,1009.24,41.52,159.11,2.97
shunyi_aq,2018-04-28 00:00:00,1524873600,40.13,116.66,Suburban Stations,51,70,61,0.9,24,6,CLEAR_DAY,16.77,1007.33,41.75,92.71,4.02
pingchang_aq,2018-04-28 00:00:00,1524873600,40.22,116.23,Suburban Stations,49,125,59,0.5,28,3,CLEAR_DAY,17,984.13,39.31,70.23,3.34
mentougou_aq,2018-04-28 00:00:00,1524873600,39.94,116.11,Suburban Stations,25,105,27,0.4,69,2,CLEAR_DAY,14.89,983.78,41.41,66.24,2.91
pinggu_aq,2018-04-28 00:00:00,1524873600,40.14,117.1,Suburban Stations,44,96,34,0.5,68,3,CLEAR_DAY,16.87,993.49,45.14,153.81,3.05
huairou_aq,2018-04-28 00:00:00,1524873600,40.33,116.63,Suburban Stations,34,95,17,0.5,53,2,CLEAR_DAY,16.15,986.69,42.83,90.15,3.05
miyun_aq,2018-04-28 00:00:00,1524873600,40.37,116.83,Suburban Stations,44,144,69,0.6,19,2,CLEAR_DAY,16,987.53,44.05,133.59,2.37
yanqin_aq,2018-04-28 00:00:00,1524873600,40.45,115.97,Suburban Stations,61,201,86,0.5,10,5,CLEAR_DAY,13,934.61,37.43,238.08,2.54
dingling_aq,2018-04-28 00:00:00,1524873600,40.29,116.22,Other Stations,,141,41,0.6,44,3,CLEAR_DAY,16.79,971.18,39.32,79.63,2.41
badaling_aq,2018-04-28 00:00:00,1524873600,40.37,115.99,Other Stations,39,182,65,0.4,48,3,CLEAR_DAY,13.56,941.3,38.2,207.29,1.57
miyunshuiku_aq,2018-04-28 00:00:00,1524873600,40.5,116.91,Other Stations,34,102,19,0.4,69,2,CLEAR_DAY,16,977.31,45.17,187.84,2.36
donggaocun_aq,2018-04-28 00:00:00,1524873600,40.1,117.12,Other Stations,46,87,29,0.6,80,11,CLEAR_DAY,16.8,995.45,44.67,159.01,2.97
yongledian_aq,2018-04-28 00:00:00,1524873600,39.71,116.78,Other Stations,90,156,79,1.5,14,12,CLEAR_DAY,17.12,1010.09,39.34,217.73,6.54
yufa_aq,2018-04-28 00:00:00,1524873600,39.52,116.3,Other Stations,81,159,65,0.6,5,5,CLEAR_DAY,16.24,1008.53,43.7,213.21,5.74
liulihe_aq,2018-04-28 00:00:00,1524873600,39.58,116,Other Stations,52,230,48,0.5,37,2,CLEAR_DAY,17,999.24,45.49,122.68,2.2
qianmen_aq,2018-04-28 00:00:00,1524873600,39.9,116.39,Stations Near Traffic,47,178,108,0.7,7,8,CLEAR_DAY,17.05,1006.82,40.9,99.95,2.26
yongdingmennei_aq,2018-04-28 00:00:00,1524873600,39.88,116.39,Stations Near Traffic,48,190,168,1,7,9,CLEAR_DAY,17.13,1006.67,40.85,106.47,2.36
xizhimenbei_aq,2018-04-28 00:00:00,1524873600,39.95,116.35,Stations Near Traffic,69,147,99,0.6,14,5,CLEAR_DAY,17,1003.85,39.99,79.34,3.51
nansanhuan_aq,2018-04-28 00:00:00,1524873600,39.86,116.37,Stations Near Traffic,50,201,115,0.7,2,11,CLEAR_DAY,17.2,1006.43,41.16,116.83,2.27
